Dataset name: datasets/cryptocurrency6.arff
Number of instances (rows): 493
Number of attributes (cols): 7
Learning algorithm: knn
Evaluation method: static
171975,171975
135286,135286
284364,284364
267044,267044
238783,238783
125853,125853
151990,151990
142351,142351
144532,144532
124311,124311
129021,129021
158617,158617
157406,157406
165549,165549
155826,155826
431307,431307
180695,180695
480301,480301
194647,194647
160859,160859
174679,174679
171739,171739
206155,206155
141144,141144
162527,162527
143700,143700
158124,158124
177301,177301
140703,140703
160696,160696
123101,123101
202685,202685
123687,123687
156697,156697
225396,225396
224277,224277
228194,228194
243356,243356
295483,295483
401240,401240
718800,718800
1.07596e+06,1.07596e+06
322918,322918
638865,638865
256676,256676
263745,263745
241357,241357
130142,130142
392541,392541
253304,253304
291580,291580
307604,307604
318475,318475
458161,458161
390128,390128
333206,333206
304832,304832
208637,208637
318555,318555
207261,207261
145757,145757
152864,152864
264934,264934
140855,140855
182798,182798
518193,518193
325964,325964
296178,296178
189000,189000
259454,259454
149545,149545
212663,212663
180511,180511
215083,215083
164571,164571
228047,228047
219910,219910
268136,268136
213766,213766
146852,146852
193980,193980
283319,283319
178138,178138
167288,167288
143946,143946
136953,136953
133609,133609
132839,132839
101473,101473
174282,174282
123342,123342
87544.3,87544.3
109611,109611
99672.1,99672.1
132188,132188
113806,113806
103837,103837
187200,187200
198449,198449
240299,240299
101905,101905
163045,163045
141288,141288
136012,136012
121542,121542
78158.6,78158.6
126620,126620
100170,100170
106828,106828
323563,323563
344179,344179
231535,231535
215614,215614
182912,182912
305098,305098
431001,431001
565965,565965
420819,420819
660754,660754
289199,289199
245081,245081
258876,258876
165597,165597
325514,325514
141790,141790
146986,146986
109802,109802
100123,100123
125595,125595
113657,113657
74510.8,74510.8
260462,260462
158639,158639
76465.4,76465.4
115365,115365
77871.4,77871.4
104221,104221
79039.6,79039.6
79801.1,79801.1
81959.1,81959.1
55374.6,55374.6
78286.3,78286.3
93001.9,93001.9
79645,79645
79940.9,79940.9
92004,92004
68778.8,68778.8
53460.7,53460.7
81911.5,81911.5
52672.7,52672.7
71987.5,71987.5
66206.3,66206.3
63474,63474
77751.9,77751.9
52282.1,52282.1
108333,108333
56689.2,56689.2
87578.2,87578.2
86129.1,86129.1


Accuracy on the training set: (does NOT imply the ability to generalize)
Set accuracy: 1.00209e-11
91893.3,84371.8
133196,136176
131403,132640
203518,191411
96064,99006.2
141174,129622
86512.7,102219
115290,111240
182050,143031
105557,107162
119550,123879
72779.2,86007.8
105963,107313
155693,166904
103759,113192
87822,96062.3
63917.7,70851.1
84115.4,89982.1
65721.6,72113.6
125234,122492
218812,249313
130962,116910
209250,187167
133659,90104.4
451068,281112
401860,364361
310726,354109
254311,238150
139832,149363
166565,145653
121050,109737
130577,121476
56328.2,52750.7
118956,89927.2
151997,125436
102632,85122.8
274024,236174
75978.4,66685.2
100977,80663.3
89027,67117.3
135973,111209
219768,218330
116813,108153
196921,216549
94875.3,97569.8
245458,205541
305632,223573
149195,147666
506937,225543
260467,254456
304404,273102
303633,265894
223838,173527
212627,171617
238968,234073
185285,166434
122759,121939
158053,158498
93798.4,101775
151290,146504
127767,135047
141337,167705
180310,224756
211086,230828
338808,223472
238184,264084
325917,223717
225445,270048
250402,195092
261717,229333
367331,235206
589188,117982
440193,296920
361410,220784
213464,221592
401591,267366
248982,185960
417727,224371
554183,154076
269782,225983
305635,221852
230875,189235
435514,223934
214646,221184
231851,189440
240323,188256
217468,191983
344319,221545
459372,222820
533828,117674
626010,153762
397122,299538
378240,235686
258325,225664
273095,225545
288824,261355
292115,220763
292158,220686
498629,116052
384776,226098
274532,222230
338146,287223
171578,254704
244759,181256
335077,286434
431633,155798
361826,226720
273920,222166
611175,155688
713982,112599
357787,258683
327662,222288
213109,203318
307628,222686
199279,234986
209562,202560
173262,254420
279160,261250
455159,154754
228633,198268
328937,244611
355115,243454
343251,286961
300221,219153
313066,285072
500286,156744
366460,254979
568995,118283
583893,117981
361560,227173
260348,219162
256970,219090
225676,188125
280550,224085
552253,155850
302125,239592
578373,226720
670362,158775
447978,155294
373743,243313
431203,210904
858392,136008
460063,155200
452207,155231
412211,210795
322701,254751
336857,283997
321191,281216
417824,210740
236927,185500
879253,135589
360398,214298
440396,181604
326542,284795
332704,287922
653776,157287
645664,204344
960374,132978
441190,115859
357259,227268
397994,227267
405125,227246
498154,154839
325117,284072


Accuracy on the test set:
Set accuracy: 197617

Training time: 0.000169992 seconds

Testing time: 0.00841522 seconds
